;id_game;team_1_name;team_2_name;game_date;home_player_1;home_player_2;home_player_3;home_player_4;home_player_5;home_player_6;home_player_7;home_player_8;home_player_9;home_player_10;home_player_11;away_player_1;away_player_2;away_player_3;away_player_4;away_player_5;away_player_6;away_player_7;away_player_8;away_player_9;away_player_10;away_player_11
47;g_1_pbLO7ymp;Manchester United;West Brom;15.04. 16:00;de Gea D. (G);Herrera A.;Lindelof V.;Lukaku R.;Mata J.;Matic N.;Pogba P.;Sanchez A.;Smalling C.;Valencia A. (C);Young A.;Brunt C. (C);Dawson C.;Foster B. (G);Gibbs K.;Hegazy A.;Livermore J.;McClean J.;Nyom A.;Phillips M.;Rodriguez J.;Rondon S.
48;g_1_vLKS6e2j;Newcastle;Arsenal;15.04. 13:30;Diame M.;Dubravka M. (G);Dummett P.;Gayle D.;Kenedy;Lascelles J. (C);Lejeune F.;Perez A.;Ritchie M.;Shelvey J.;Yedlin D.;Aubameyang P.;Cech P. (G) (C);Chambers C.;Elneny M.;Holding R.;Iwobi A.;Lacazette A.;Monreal N.;Mustafi S.;Willock J.;Xhaka G.
49;g_1_ddkDE7Ld;Tottenham;Manchester City;14.04. 19:45;Alli D.;Davies B.;Dembele M.;Dier E.;Eriksen C.;Kane H.;Lamela E.;Lloris H. (G) (C);Sanchez D.;Trippier K.;Vertonghen J.;De Bruyne K.;Delph F.;Ederson (G);Gabriel Jesus;Gundogan I.;Kompany V. (C);Laporte A.;Sane L.;Silva D.;Sterling R.;Walker K.
50;g_1_rkZdCHvT;Liverpool;Bournemouth;14.04. 17:30;Alexander-Arnold T.;Firmino R.;Henderson J. (C);Karius L. (G);Lovren D.;Mane S.;Oxlade-Chamberlain A.;Robertson A.;Salah M.;van Dijk V.;Wijnaldum G.;Ake N.;Begovic A. (G);Cook L.;Cook S.;Daniels C.;Defoe J.;Francis S. (C);Fraser R.;Gosling D.;Ibe J.;King J.
51;g_1_h0tpFJfA;Burnley;Leicester;14.04. 15:00;Barnes A.;Cork J. (C);Gudmundsson J.;Lennon A.;Long K.;Lowton M.;Pope N. (G);Tarkowski J.;Ward S.;Westwood A.;Wood Ch.;Chilwell B.;Choudhury H.;Gray D.;Maguire H.;Mahrez R.;Morgan W. (C);Okazaki S.;Schmeichel K. (G);Silva Ad.;Simpson D.;Vardy J.
52;g_1_nNulEwAG;Crystal Palace;Brighton;14.04. 15:00;Cabaye Y.;Hennessey W. (G);Loftus-Cheek R.;McArthur J.;Milivojevic L. (C);Sakho M.;Tomkins J.;Townsend A.;van Aanholt P.;Ward J.;Zaha W.;Bong G.;Duffy S.;Dunk L. (C);Gross P.;Izquierdo J.;Kayal B.;Locadia J.;Murray G.;Ryan M. (G);Schelotto E.;Stephens D.
53;g_1_QDvhDcPM;Huddersfield;Watford;14.04. 15:00;Hadergjonaj F.;Hogg J. (C);Jorgensen M.;Kongolo T.;Lossl J. (G);Mooy A.;Mounie S.;Pritchard A.;Quaner C.;Schindler C.;van La Parra R.;Capoue E.;Cathcart C.;Deeney T. (C);Doucoure A.;Hughes W.;Janmaat D.;Karnezis O. (G);Kiko;Mariappa A.;Pereyra R.;Prodl S.
54;g_1_I5Eot8GN;Swansea;Everton;14.04. 15:00;Ayew A.;Ayew J.;Carroll T.;Fabianski L. (G);Fernandez F. (C);King A.;Ki Sung-Yong;Mawson A.;Narsingh L.;Naughton K.;Olsson Mart.;Baines L.;Bolasie Y.;Coleman S.;Gueye I.;Jagielka P. (C);Keane M.;Pickford J. (G);Rooney W.;Schneiderlin M.;Tosun C.;Walcott T.
55;g_1_hOOW5FHd;Southampton;Chelsea;14.04. 12:30;Bednarek J.;Bertrand R. (C);Hoedt W.;Hojbjerg P.;Long S.;McCarthy A. (G);Romeu O.;Soares C.;Tadic D.;Ward-Prowse J.;Yoshida M.;Alonso M.;Azpilicueta C.;Cahill G. (C);Christensen A.;Courtois T. (G);Fabregas C.;Hazard E.;Kante N.;Morata A.;Willian;Zappacosta D.
56;g_1_nNJIbbAT;Chelsea;West Ham;08.04. 16:30;Alonso M.;Azpilicueta C.;Cahill G. (C);Courtois T. (G);Fabregas C.;Hazard E.;Kante N.;Morata A.;Moses V.;Rudiger A.;Willian;Arnautovic M.;Cresswell A.;Fernandes E.;Hart J. (G);Kouyate C.;Mario J.;Masuaku A.;Noble M. (C);Ogbonna A.;Rice D.;Zabaleta P.
